name,lat,lon
Chhota Anjaiah Nagar,17.4473271,78.3634745
Domalguada Bus top,17.4102472,78.4865248
Tarnaka Bus Stop,17.4263175,78.5313258
TGSRTC Hospital Bus Stop,17.4259908,78.5302396
Old Dairy Farm,17.4238103,78.5274645
NCC,17.4060326,78.5169959
Engineering College,17.4091039,78.5201029
Law College,17.4148776,78.5250554
Ladies Hostel,17.4118475,78.5218367
Arts College,17.4203646,78.527347
JNTU Bus Stop toward Hitech City,17.4957688,78.3948885
,17.4430816,78.4404626
Madhapur Petrol Pump,17.4411141,78.3914668
Madhapur Petrol Pump,17.440965,78.3913097
,17.4928865,78.4023206
S.R.Nagar Bus Stop,17.4374277,78.443449
,17.4364999,78.4440447
Sikh Village,17.4566,78.4900888
Tarbund,17.456317,78.4840993
Paradise,17.4451266,78.4871598
Bapuji Nagar Stop,17.4677226,78.4818498
Center Point,17.4642307,78.4844156
Wholesale Market,17.4693252,78.4948647
,17.3744556,78.4753984
Public Library,17.3738598,78.4779838
Ramnagar Cross Roads Bus Stop,17.4107475,78.5075901
Ramnagar Gundu Bus Stop,17.4077286,78.5120765
Cyber Towers,17.450675,78.3801434
Cyber Towers Bus Stop,17.4507134,78.3821189
V IT Park,17.4342977,78.3843417
V IT Park,17.4340492,78.3840991
Mindspace,17.4414196,78.3769845
,17.2537174,78.6781899
,17.255066,78.676658
Ramoji Film City Bus Pick-Up Point,17.3090415,78.6820028
Kuntloor,17.3404117,78.6259087
,17.4318264,78.4068998
,17.4315449,78.4071305
L V Prasad,17.4235017,78.4276065
VST Bus Stop,17.4048294,78.5022525
"TSRTC BUS DEPOT, MUSHEERABAD 1",17.4073169,78.5033717
YMCA Bus Stop,17.3959051,78.4909681
Indira Park,17.4116181,78.4824323
HMT Bus stop,17.4244708,78.5472919
NIMS,17.4231252,78.4546595
Telephone Bhavan,17.4072432,78.4663365
Lakdikapul Bus Stop,17.4034111,78.4652115
Himayathnagar Bus stop,17.4022136,78.4836242
Birla Mandir,17.4046345,78.4676224
Latha Talkies,17.39038,78.4686267
HMT,17.4234932,78.5465945
TV9 Bus Stop,17.4269784,78.4396869
,17.4351205,78.5142111
,17.4422852,78.4584347
Begumpet,17.4421395,78.4585964
,17.4439888,78.4612656
,17.4443551,78.4610365
Shoppers Stop,17.4448332,78.4656108
మెట్టుగుడ,17.434104,78.520881
,17.4278269,78.5292938
Diamond Point,17.4622124,78.4909058
Diamond Point,17.4624069,78.4911418
Patny Bus Stop,17.4430219,78.4945643
Keyes High School,17.4388713,78.5047987
Airport Liner,17.4390044,78.5048952
Kaman,17.407861,78.4389668
Pension Office Bus Stop,17.4077258,78.4509789
,17.4996016,78.5373572
Ammuguda,17.4967059,78.5323898
Ranigunj,17.4303516,78.4879985
,17.4652813,78.4726775
Bowenpally,17.465169,78.4729384
Bowenpally,17.463161,78.4725389
Tarbund,17.4564424,78.4839007
Bowenpally,17.4617293,78.4733842
amberpet bus stop,17.3920701,78.5164734
chey number stop,17.3915758,78.5123889
Kothaguda,17.4594101,78.3659425
,17.4641924,78.3667766
DLF Bus stop near JNIB,17.4445422,78.3536778
Gachibowli,17.439503,78.3635448
Indra Nagar,17.441046,78.3603475
,17.457719,78.3716207
Fever Hospital,17.395501,78.5024402
Kanajiguda Bus Stop,17.4846693,78.4972634
Teachers Colony,17.4814108,78.5023248
Lal Bazar,17.4785608,78.5110259
Lal Bazar,17.4791338,78.5107791
Nirmal Nagar,17.4903783,78.5377761
Shoppers Stop,17.4451251,78.4655312
,17.4390017,78.3970577
Malkajgiri Bus Stop,17.4498327,78.5366468
Safilguda Bus Stop,17.4608934,78.5354081
SubStation,17.4553192,78.5298879
Safil Guda,17.4623094,78.532613
Uttam Nagar,17.4598326,78.5315831
Dayananda Nagar,17.4577857,78.5308213
Anandh Bagh,17.4587554,78.5366052
